audit_item_id,check_name,check_definition,failure_class,required_evidence_type,applies_at_gate,checklist_version,notes
la_031,cue_lock_precedes_assignment,Every immediate-cue row was hash-locked before matching token-to-sign-type assignment began,halt,hash_and_timestamp_join,Gate D,0.2,
la_032,gate0_precedes_packet_generation,Written authority authenticated audio approved storage and the 40-event alignment audit passed before any packet was generated,halt,feasibility_registry_and_timestamp_audit,Gate C,0.2,
la_033,pilot_occurrences_excluded,No pilot occurrence key appears in confirmatory training or scoring,halt,occurrence_hash_set_intersection,Confirmatory sample freeze,0.2,Fresh occurrences from the same outer blocks remain eligible
la_034,immediate_cue_codebook_frozen,Every principal immediate-cue field has a complete controlled-value or numeric-validation rule frozen before model annotation,halt,codebook_completeness_audit,Gate C,0.2,
la_035,sampling_dispositions_complete,Every scanned pilot candidate has one disposition row and every cap skip follows the frozen round-robin rule,halt,sampling_disposition_recompute,Gate E,0.2,
la_036,block_sides_frozen,Every principal outer block has sem and syn sides derived from source labels before target outcomes are joined,halt,source_to_block_derivation_audit,Gate C,0.2,Mixed or uncertain blocks count toward neither side minimum
la_037,annotation_hash_chain_complete,Every run has prompt packet response evidence settings input and output manifest hashes,halt,annotation_manifest_hash_audit,Gate D,0.2,
la_038,duplicate_manifest_complete,Every critical family-unit pair has exactly two runs linked by one duplicate manifest,halt,duplicate_manifest_join,Gate D,0.2,
la_039,model_version_drift_absent,Every resolved model version equals the frozen pin; drift halted before new packets,halt,registry_manifest_version_join,Gate D,0.2,
la_040,external_audio_prohibited,No restricted audio hash or payload appears in an external model manifest,halt,data_governance_audit,Gate D,0.2,
la_041,expert_audit_precedes_outcomes,All source expert audits and final labels predate creation of post-offset packets,halt,timestamp_and_hash_join,Gate D,0.2,
la_042,primary_consensus_strict,Every primary source label has three stable unanimous family votes and expert confirmation,halt,consensus_duplicate_expert_join,Gate E,0.2,
la_043,boundary_provenance_separate,Target offset first audible first vocal and first word boundaries retain separate sources and hashes,halt,timing_provenance_audit,Gate D,0.2,
la_044,technical_ambiguity_missing,Technical defects and unresolved speaker identity derive uncodable missingness with a blank trajectory rather than an outcome level,halt,deterministic_recompute,Gate E,0.2,
la_045,paired_scores_same_blocks,All model contrasts use the same held-out form blocks and paired block-level log scores,halt,predictive_score_join,Gate E,0.2,
la_046,contrast_covariance_reported,The joint covariance of the four principal and conditional contrasts and direct sem-syn contrast is recorded,halt,predictive_covariance_audit,Gate E,0.2,
la_047,form_block_aggregation,Primary predictive scores aggregate equally at the held-out form-block level,halt,predictive_score_aggregation_audit,Gate E,0.2,
