coding_id,family,term,genre,source,left,target,right,exclude,exclusion_reason,verbal_syntax,semantic_residue,interactional_residue,targeted_entity,coder_notes
mgc0011,shoo,shooed,MAG,SportsIll,", somebody tosses away a cigarette and the little kids are",shooed,"off the court again . Dennis DuVal , who made the dean",0,,1,1,1,1,primary coding rule
mgc0012,boo,boos,FIC,HairyApe,"he is interrupted by a storm of catcalls , hisses ,",boos,", hard laughter . VOICES -- Turn it off ! Shut up",1,noun use,0,0,0,0,excluded by primary coding rule
mgc0013,boo,booing,FIC,Play:CircusValentine,p. 66 IN THE CENTER RINGGoldie continues . The crowd is,booing,louder now . GOLDIE Fred bought this tent because he wanted to,0,,1,1,1,1,primary coding rule
mgc0014,boo,boos,NEWS,Chicago,cries from the Teatro Alla Scala 's top two galleries were,boos,"of disapproval . Language Barrier "" I was absolutely shattered",1,noun use,0,0,0,0,excluded by primary coding rule
mgc0015,boo,booing,FIC,Play:GameInches,". Booo . "" But today , the fans are n't",booing,". They 're quiet , almost kind . It 's not putting",1,no recoverable verbal syntax,0,0,0,0,excluded by primary coding rule
mgc0016,shoo,shooing,MAG,Nation,teachers to membership -- a refusal that has the effect of,shooing,teachers still farther away from any kind of classroom work that,0,,1,1,1,0,primary coding rule
mgc0017,wow,wowed,FIC,Bk:PhantomAngel,"#to be wowed . Trust me , they will be",wowed,". And the music ? I promise you , people will be",0,,1,1,1,0,primary coding rule
mgc0018,shoo,shooed,FIC,ThreeWishes,"one who 'll have to cover for you . "" Bree",shooed,"her off . "" No one else is coming in . Not",0,,1,1,1,1,primary coding rule
mgc0019,boo,booed,MAG,Time,#and feathered by the studio audience instead of being merely,booed,and shamed ?,0,,1,1,1,0,primary coding rule
mgc0020,ooh,oohing,TV/MOV,Undercovers,pack it . Okay then . When you two have finished,oohing,"and aahing over the toy , me and Mrs . Yorn need",0,,1,1,1,1,primary coding rule
mgc0021,boo,booed,MAG,Time,"#City , Mo. , attracted 300 supporters , who continually",booed,and jeered the drug 's critics . # These legal and legislative,0,,1,1,1,0,primary coding rule
mgc0022,shoo,shooing,TV/MOV,Psych,And we 're shooing . We 're shooing . We 're,shooing,. Auf wiedersehen . Sweet . You heard Lassiter . We need,0,,1,1,1,0,primary coding rule
mgc0023,boo,booing,MAG,Time,knuckled down on the discharge of union leaders . Braving a,booing,", Mayor Marvin put Mr. Rand 's terms before the workers .",1,no recoverable verbal syntax,0,0,0,0,excluded by primary coding rule
mgc0024,boo,booed,MAG,Time,"#, the octogenarian hero of the elderly , also was",booed,"by a white audience last week . Douglas Fraser , the president",0,,1,1,1,1,primary coding rule
mgc0025,wow,wowed,MAG,TechReview,"#and the mathematician touting the technology , together they",wowed,venture capitalists on both coasts . Backed by $12.5 million,0,,1,1,0,0,primary coding rule
mgc0026,shoo,shooing,MAG,Time,"essentially a professional crisis manager , defusing fights ,",shooing,off troublemakers and healing broken souls with sugar and steel,0,,1,1,1,1,primary coding rule
mgc0027,wow,wowed,NEWS,Denver,"#bleachers and capacity crowds , where the McCaffrey siblings",wowed,them on the basketball floor . # First came Eddie . Already,0,,1,1,1,1,primary coding rule
mgc0028,shoo,shooing,FIC,DarkPage,"the rner , the puffing Amos behind him . A cop",shooing,"Curious kids away greeted him . "" What are you doing here",0,,1,1,1,0,primary coding rule
mgc0029,boo,boos,MAG,Newsweek,traditional talking tuxedo in midring brought forth a chorus of,boos,. Boxing has come a long way from the days when men,1,noun use,0,0,0,0,excluded by primary coding rule
mgc0030,shoo,shooed,FIC,Boulevard,"sun . Janie physically shooed Rothberg away from the computer ,",shooed,him from the apartment dining room entirely . She printed the,0,,1,1,1,1,primary coding rule
mgc0031,shoo,shooing,FIC,TrueLove,", nigger ! "" The man tries to edge away ,",shooing,his kids ahead of him . It 's not necessarily that he,0,,1,1,1,1,primary coding rule
mgc0032,wow,wowed,MAG,Time,"#gold medals at the 1996 Atlanta Olympics , she has",wowed,"sports fans with graceful and tenacious swordswomanship ,",0,,1,1,1,0,primary coding rule
mgc0033,ooh,oohs,FIC,Mov:Skidoo,"floating down through the air and just then his colorful parachute opens to the """,oohs,"and ahhs "" of the crowd. This is the scene in New York,",1,noun use,0,0,0,0,excluded by primary coding rule
mgc0034,boo,booed,FIC,ReturnLannyBudd,"#unacknowledged legislators of mankind . "" The Reds hissed and",booed,"this speech , but the Germans gave the speaker an ovation .",0,,1,1,1,1,primary coding rule
mgc0035,boo,booed,FIC,MagnoliaStreet,#that John Cooper was now away at sea . They,booed,as if Benny Edelman had not saved little Tommie Wright from,0,,1,1,1,0,primary coding rule
mgc0036,boo,booing,TV/MOV,Stars and Stripes Fo...,"? Shall fade ? ? Be scattered ? ? [Crowd_Shouting] ,",Booing,The scoundrel . Nincompoop . Let 's get out of here before,0,,1,1,1,1,primary coding rule
mgc0037,boo,booing,FIC,LoveFeast,concoction passed around . Dean Borden booed when he refuses .,Booing,billows as proctors follow Dean 's lead . Turtlenecked chaplain,1,no recoverable verbal syntax,0,0,0,0,excluded by primary coding rule
mgc0038,boo,booed,NEWS,Chicago,"#was leaving the hotel after the speech , the protesters",booed,"him loudly , the first evidence of hostility that Ford has",0,,1,1,1,1,primary coding rule
mgc0039,shoo,shooing,FIC,AdesFables,"brave Woman who was back there in the lonesome Shack ,",shooing,"the Prairie Wolves away from the Cradle , and he resolved to",0,,1,1,1,1,primary coding rule
mgc0040,boo,booed,MAG,NewRepublic,#guarantee to the Secret Service that he would not be,booed,", cursed and generally maligned by some of his hearers .",0,,1,1,1,0,primary coding rule
mgc0041,boo,booed,NEWS,NYT-Reg,#with Romans ? forefathers of the Romans who cheered and,booed,last night . Early this morning it was still uncertain whether,0,,1,1,1,0,primary coding rule
mgc0042,ooh,oohs,FIC,Mov:FantasticFourThe,"of flame (their future callsign), over the city skyline. The crowd",oohs,"and aahs. Ben watches, unimpressed. # BEN # Showoff. People drink,",0,,1,1,1,0,primary coding rule
mgc0043,boo,booed,TV/MOV,Passage to Marseille,"#"" and the loyal French soldiers are understood to have",booed,". "" What kind of a war is this ? Soldiers say",0,,1,1,1,0,primary coding rule
mgc0044,boo,boos,MAG,SportsIll,"24 , in a game Boston would win 9-8 , the",boos,"and chants of "" Clemens sucks ! "" that accompanied his departure",1,noun use,0,0,0,0,excluded by primary coding rule
mgc0045,wow,wowing,MAG,Engadget,#at CES in a few weeks . But instead of,wowing,"the world with it 's non-stop teaser videos , it was the",0,,1,1,0,1,primary coding rule
mgc0046,boo,boos,MAG,Time,suddenly interrupted by a tremendous clamor of sound-effect,boos,"catcalls . Then the Nazi announcer spoke up . "" This ,",1,noun use,0,0,0,0,excluded by primary coding rule
mgc0047,boo,booing,FIC,BlindManWithPistol,"law and order . "" The cameras briefly showed the spectators",booing,", then switched quickly to other sound trucks , occupied by",0,,1,1,1,0,primary coding rule
mgc0048,boo,booing,FIC,GoodCompanyEvery,"and her Cause , somewhat basely ; took to booing and",booing,"for Causes of their own , unhappy mortals ; -- and Scotland",1,OCR/proper-name/non-target use,0,0,0,0,excluded by primary coding rule
mgc0049,wow,wows,MAG,Time,"love to hear their language spoken. "" # A good mimic, she often",wows,French audiences with take-offs of people who heckle husband George. She has never been,0,,1,1,1,1,primary coding rule
mgc0050,shoo,shooed,FIC,ValeriasLastStand,. It was the same scene every day . Some even,shooed,"her away . # "" Leave my food alone , "" they",0,,1,1,1,1,primary coding rule
mgc0051,boo,booed,MAG,Huffington Post,"#Act , according to WJBF . # The crowd also",booed,when Wilson said he supported President Donald Trump 's,0,,1,1,1,0,primary coding rule
mgc0052,boo,booing,TV/MOV,All the King's Men,of here ! - What 's the idea ? They 're,booing,you . - My head ... - The doctor said it 's,0,,1,1,1,0,primary coding rule
mgc0053,shoo,shooed,FIC,LiteraryRev,"chilled again , her body weak . Day after day he",shooed,"away pigeons , murmuring words of encouragement , until",0,,1,1,1,1,primary coding rule
mgc0054,wow,wowed,FIC,IslandsInStream,"#Hymie slouched forward and banged his brows , going """,Wowed,""" and "" Zaddafuck , waddafuck ! "" And Boomie fluttered fingers",1,non-verbal vocalization,0,0,0,0,excluded by primary coding rule
mgc0055,boo,booing,FIC,Mov:SetUpThe,"air and Nelson dances tantalizingly about him , the fans start",booing,"and stamping . Nelson , with a broad smile , stops and",0,,1,1,1,0,primary coding rule
mgc0056,boo,boos,NEWS,USAToday,"makes no sense at all . "" # Perry , drawing",boos,"from an audience of 5,000 at the Orange County Convention Center",1,noun use,0,0,0,0,excluded by primary coding rule
mgc0057,ooh,oohs,MAG,Time,"When Sony released its $1,000 digital picture frame last year, it got lots of",oohs,and aahs but few takers. Now come the clones: Idea Grove is hawking,1,noun use,0,0,0,0,excluded by primary coding rule
mgc0058,shoo,shooed,FIC,BoazBrown,seat to beat out a few loud clashes before the organist,shooed,them away . The cheerful hum of church folk idly socializing,0,,1,1,1,1,primary coding rule
mgc0059,shoo,shooing,FIC,CrownStars,'s arm and flew over the tangle with the idea of,shooing,the youngsters back to the ship . But the arrival of this,0,,1,1,1,1,primary coding rule
mgc0060,boo,booed,NEWS,NYT-Reg,#Crowds gathered at the scene of the clashes . They,booed,the policemen and when trucks from the government sugar,0,,1,1,1,1,primary coding rule
mgc0061,ooh,oohed,MAG,Time,"cheerfully hammed a few appropriate poses for photographers ,",oohed,and aahed like any common citizen at the power of Army 's,0,,1,1,1,1,primary coding rule
mgc0062,boo,boos,MAG,SportsIll,them without complaint but still not understanding the Garden,boos,or why the New York press had made him the whipping boy,1,noun use,0,0,0,0,excluded by primary coding rule
mgc0063,boo,booed,MAG,SportsIll,#to make a pitching change out of fear of being,booed,". // "" That has an effect on the team , """,0,,1,1,1,1,primary coding rule
mgc0064,wow,wowed,NEWS,Chicago,"#Still , this is a young and resilient team that",wowed,the West without Keith Tkachuk and Jeremy Roenick this season .,0,,1,1,0,1,primary coding rule
mgc0065,boo,boos,MAG,Bleacher Report,Taylor was an ugly 4-of-14 for 19 yards and drew loud,boos,"and "" we want Baker "" chants from the crowd . A",1,noun use,0,0,0,0,excluded by primary coding rule
mgc0066,shoo,shooed,FIC,ListeningHouse,"too , lady . Go on ahead there . "" He",shooed,"us on ahead of him , made us sit on the black",0,,1,1,1,1,primary coding rule
mgc0067,shoo,shooing,FIC,WhereItLies,"accept that , ma'am . "" He spread his arms ,",shooing,"me back from the doorway . "" You can tell your whole",0,,1,1,1,0,primary coding rule
mgc0068,shoo,shooing,MAG,Atlantic,even then were apparently sent only with the intent of ',shooing,"' several belligerent Tommies back to their own side , for the",0,,1,1,1,0,primary coding rule
mgc0069,shoo,shooed,FIC,Play:AnnullaAnAutobiography,to really take a job . And do you know they,shooed,me out ? Do you know why ? They found out my,0,,1,1,1,0,primary coding rule
mgc0070,wow,wowed,MAG,Time,#Bobby and Ethel given to Old Joe for his birthday,wowed,"the patriarch , who called Lowe and said he wanted him to",0,,1,1,0,1,primary coding rule
mgc0071,wow,wowed,NEWS,CSMonitor,#our early prediction list . While Chris Medina never really,wowed,"enough vocally to belong in the Top 24 , it was a",0,,1,1,0,0,primary coding rule
mgc0072,boo,booing,TV/MOV,The Munsters,in a row . Even the crowd 's getting tired of,booing,"him . Look , Jerry , I 've got one more gimmick",0,,1,1,1,1,primary coding rule
mgc0073,boo,boos,MAG,Newsweek,", Stephen King , Paul Simon , George Steinbrenner ( most",boos,upon introduction ) and Natalie Cole (biggest cheers ) ? all,1,noun use,0,0,0,0,excluded by primary coding rule
mgc0074,boo,booed,FIC,Ploughshares,"#for ten rounds , even if you lost and got",booed,. At least you 'd be around to collect on another payday,0,,1,1,1,1,primary coding rule
mgc0075,boo,booing,MAG,PopMech,"the piano player , the audience cheering for the hero and",booing,the villain in a variety of languages that might have been heard,0,,1,1,1,1,primary coding rule
mgc0076,boo,boos,FIC,Arrangement,was I really dealing in controversy . Merely leading cheers and,boos,. He said everything in my piece was predictable . That I,1,noun use,0,0,0,0,excluded by primary coding rule
mgc0077,boo,booed,MAG,Time,#stadium . Cheers and applause ? Hardly . The fans,booed,lustily . # Those jeers apparently never reached East Berlin .,0,,1,1,1,0,primary coding rule
mgc0078,ooh,oohs,FIC,TicketHome,were swaddled in woolen scarves and down coats. They sent up soft choruses of,oohs,and aaaahs when the cat with a sixteen-foot bow tie emerged from a side street,1,noun use,0,0,0,0,excluded by primary coding rule
mgc0079,shoo,shoos,MAG,Time,"pose , he holds a thick cigar in one hand and",shoos,"away his old English sheep dog , Wellington , with the other",0,,1,1,1,1,primary coding rule
mgc0080,boo,booed,MAG,Time,"#'s end 30,000 workers jammed Buffalo Stadium in Paris ,",booed,moderate French Labor Union Boss Lon Jouhaux completely off the,0,,1,1,1,0,primary coding rule
mgc0081,shoo,shoos,FIC,Play:TrumpetInLand,my thanks . BERNARD GRUBE Now away with you ! (,Shoos,the widows out . ) CHRISTIAN GREGOR (Laconically . ) You,1,unclear or non-verbal use,0,0,0,0,excluded by primary coding rule
mgc0082,shoo,shooing,FIC,SouthwestRev,"to his dad , the old man makes a to-do of",shooing,"the Mrs. and then whispers conspiratorially , "" You been dippin '",0,,1,1,1,1,primary coding rule
mgc0083,boo,booing,NEWS,Chicago,""" he said . The crowd responded with a chorus of",booing,". "" It 's not a Catholic issue , "" Carter added",1,noun use,0,0,0,0,excluded by primary coding rule
mgc0084,boo,booed,FIC,TalesRoad,#think of . Finally he asked me for ' Hairts,Booed,"Doon . ' "" As I played ' The Heart Bowed Down",1,OCR/proper-name/non-target use,0,0,0,0,excluded by primary coding rule
mgc0085,boo,booing,FIC,Convert,", anyway ? "" ' In the chorus of cheers and",booing,"some one sang out , ' He 's a jolly good fellow",1,noun use,0,0,0,0,excluded by primary coding rule
mgc0086,boo,booed,NEWS,Atlanta,#now . Thigpen went from 57 to 35 and they,booed,"him out of town . "" . . . . Cardinals set-up",0,,1,1,1,1,primary coding rule
mgc0087,boo,boos,FIC,Mov:Nashville,"as our guest . How 's that , huh ? The",boos,"continue , but the cheers and applause that filter in lead him",1,noun use,0,0,0,0,excluded by primary coding rule
mgc0088,boo,boos,NEWS,Chicago,"and evening gowns , they were greeted with obscene catcalls and",boos,. An especially angry reception was given to millionaire W.,1,noun use,0,0,0,0,excluded by primary coding rule
mgc0089,boo,booed,NEWS,Houston,#. Because he has endured the bad times and been,booed,", this year 's success means that much more to him .",0,,1,1,1,1,primary coding rule
mgc0090,wow,wowed,NEWS,Denver,"#comes into the museum , that they are so completely",wowed,with the experience -- and that it 's not just about fashion,0,,1,1,0,0,primary coding rule
mgc0091,shoo,shooing,FIC,Azalea,he went home to fetch the bird-net with little bells .,Shooing,"his puzzled mother and sister back into the house , he marched",0,,1,1,1,1,primary coding rule
mgc0092,boo,booing,MAG,Time,"Woodstock IV , showing no disapproval then or later over the",booing,"of Republican Senator Trent Lott , who had come to pay his",1,noun use,0,0,0,0,excluded by primary coding rule
mgc0093,boo,boos,NEWS,NYT-Reg,The names of Senators Taft and Vandenberg raised a chorus of,boos,and hisses . President Truman 's name also brought similar but,1,noun use,0,0,0,0,excluded by primary coding rule
mgc0094,boo,boos,NEWS,NYT-Reg,A. F. L. organizational drive . But the loudest and longest,boos,came when he accused Governor Dewey and Gov . Alfred E. Driscoll,1,noun use,0,0,0,0,excluded by primary coding rule
mgc0095,ooh,oohs,FIC,FarewellHorizontal,frieze. Hit with a pinlight a second before the animation comes to life:,oohs,"and ahhs from all the tables. With these military tribes, you always knew",1,noun use,0,0,0,0,excluded by primary coding rule
mgc0096,shoo,shoos,FIC,ThisSideParadise,job is to provide and to hold fast . His wife,shoos,"him on , from ten thousand a year to twenty thousand a",0,,1,1,1,1,primary coding rule
mgc0097,shoo,shooed,FIC,SouthwestRev,"to hear them screech . Great . Caught a pigeon ,",shooed,"it in the sack , sloping shingles and blue sky , the",0,,1,1,1,0,primary coding rule
mgc0098,boo,booed,MAG,Nation,#the story becomes even sadder . Was Master Grange ever,booed,from the field while he played with his college mates ? He,0,,1,1,1,0,primary coding rule
mgc0099,boo,boos,FIC,Cabal,"that are predominantly Christian .... "" There was a burst of",boos,and foot-stomping and Hartewell waited until it quieted . Then,1,noun use,0,0,0,0,excluded by primary coding rule
mgc0100,shoo,shooed,NEWS,Chicago,physically exhausted and emotionally depleted . Typically I,shooed,the boys out of the kitchen so I could perform yet another,0,,1,1,1,1,primary coding rule
mgc0101,boo,booed,MAG,NewYorker,#lotus position to complain about his innovation . ( People,booed,"when Bob Dylan plugged in his guitar , too . ) """,0,,1,1,1,0,primary coding rule
mgc0102,shoo,shooed,FIC,GreenerThanYou,various degrees of resistance the inhabitants were carried or,shooed,from their dwellings . While the wrangling over its destruction,0,,1,1,1,0,primary coding rule
mgc0103,shoo,shooing,NEWS,SanFran,"talk to the pharmacist , "" said the hotel clerk ,",shooing,"us out the door . # The pharmacist , a young woman",0,,1,1,1,1,primary coding rule
mgc0104,shoo,shooed,FIC,MurderAtABA,12:40 P.M. It was somewhat past twelve-thirty when we were all,shooed,into the next room to the tables reserved for us near the,0,,1,1,1,0,primary coding rule
mgc0105,boo,booed,MAG,Time,"#their long inaction , he addressed them and was roundly",booed,. This time the troops knew that action could not be long,0,,1,1,1,0,primary coding rule
mgc0106,shoo,shooed,FIC,IdasPassion,"asleep . The family got on her nerves , and she",shooed,Sweetbabe away when he wanted to read aloud to her even though,0,,1,1,1,0,primary coding rule
mgc0107,boo,boos,NEWS,NYT-Reg,"Willkie was a Democrat until very ' recently , as many",boos,as cheers came from the galleries after this statement . It was,1,noun use,0,0,0,0,excluded by primary coding rule
mgc0108,shoo,shooing,FIC,UnfinishedCathedral,I had a fancy that in a moment she would be,shooing,me out of the house as I had seen her shoo recalcitrant,0,,1,1,1,0,primary coding rule
mgc0109,shoo,shooed,FIC,TreasureValley,Twelve Tribes emigrated from the back yard they were promptly,shooed,across the street and over into the doctor 's garden . Davy,0,,1,1,1,0,primary coding rule
mgc0110,boo,booing,NEWS,Chicago,walk out there and see all these people ; they were,booing,"us a couple weeks ago , "" Marshall said . "" Guys",0,,1,1,1,1,primary coding rule
mgc0111,shoo,shooed,FIC,DoorbellRang,"was the busiest time of day downstairs for Felix , I",shooed,him out and took Wolfe 's coat and hung it up and,0,,1,1,1,1,primary coding rule
mgc0112,boo,booed,MAG,Time,"#'s home state of Colorado last month , football fans",booed,in Denver 's Mile High Stadium . Reason : for nearly nine,0,,1,1,1,0,primary coding rule
mgc0113,boo,booed,NEWS,Atlanta,"#, "" Boas said . "" He had never been",booed,"before , even when he was running go-karts . "" # Boas",0,,1,1,1,1,primary coding rule
mgc0114,wow,wowing,FIC,MyLifeAsMan,#for you when you got home from a day of,wowing,"the teachers . You were n't exactly trained to take punishment ,",0,,1,1,1,1,primary coding rule
mgc0115,wow,wows,MAG,Smithsonian,", one of the greatest drummers of all time still riffs up a storm and",wows,"fellow musicians # YOU MAY NOT HAVE HEARD of Roy Haynes, but you have",0,,1,1,1,0,primary coding rule
mgc0116,wow,wowed,NEWS,CSMonitor,#unsolicited print to the 1992 Toronto film festival . It,wowed,the programmers . Though the film went on to win the American,0,,1,1,0,1,primary coding rule
mgc0117,shoo,shooed,FIC,LionIsInStreets,""" Three flies buzzed and circled over the table . Verity",shooed,"at them ineffectually . "" We 'll get some screens , first",0,,1,1,1,0,primary coding rule
mgc0118,ooh,oohing,FIC,Ploughshares,", but the tiger was silent . When the audience was",oohing,and aahing over the tamer placing his head into a lion 's,0,,1,1,1,1,primary coding rule
mgc0119,boo,booed,MAG,USNWR,"#Party Congress in France last October , he was roundly",booed,. French officials say the U.S. has scored points by,0,,1,1,1,0,primary coding rule
mgc0120,shoo,shooed,MAG,Time,watching . An ABC television crew staying in the hotel was,shooed,off and told to come back when the food had been served,0,,1,1,1,1,primary coding rule
mgc0121,shoo,shooed,FIC,FantasySciFi,the lawn . # Mrs. Meadows opened the glass door and,shooed,"her pet out . "" Now at least he wo n't be",0,,1,1,1,1,primary coding rule
mgc0122,boo,booing,FIC,Play:CircusValentine,stupid . IN THE CENTER RINGGoldie continues . The crowd is,booing,"now . GOLDIE The only thing we ownThat 's worth anything ,",0,,1,1,1,1,primary coding rule
mgc0123,boo,booed,MAG,Time,"#at a session earlier in the week , hissed and",booed,"the cherished French thesis of "" No Disarmament Without",0,,1,1,1,1,primary coding rule
mgc0124,shoo,shooed,FIC,WarRoses,his office long after the others had gone . He had,shooed,"away the cleaning woman , a portly Spanish-looking lady who",0,,1,1,1,1,primary coding rule
mgc0125,boo,booing,MAG,Time,"the town centre , Willkie got his first real baptism by",booing,: a three-story red-brick General Motors assembly plant,1,no recoverable verbal syntax,0,0,0,0,excluded by primary coding rule
mgc0126,shoo,shooed,FIC,ConfidenceInIzmir,and millions of devalued lira were at stake . The waiter,shooed,"the hawker from their table , and a final fingernail of sun",0,,1,1,1,1,primary coding rule
mgc0127,boo,boos,NEWS,Washington Post,"pricey quarterback , his return to Denver resulting in numerous",boos,and a 27-9 Texans loss in which the road team made things,1,noun use,0,0,0,0,excluded by primary coding rule
mgc0128,boo,booing,NEWS,Chicago,"reached the microphone , she could not be heard over the",booing,of the audience . The University of Illinois walkout occurred,1,noun use,0,0,0,0,excluded by primary coding rule
mgc0129,ooh,oohed,FIC,Analog,"overhead , and Andrea gasped . Several of the other astronomers",oohed,"and aahed . "" Make a wish , "" Craig said .",0,,1,1,1,0,primary coding rule
mgc0130,wow,wowed,NEWS,Chicago,"#Mr. Clarke ? s own statement , he had not",Wowed,much aptitude for business and had been erratic . His brother,1,non-verbal vocalization,0,0,0,0,excluded by primary coding rule
mgc0131,boo,boos,MAG,USAToday,"Each time they come into view , they are met with",boos,"from all around but , to everyone 's surprise , no punishment",1,noun use,0,0,0,0,excluded by primary coding rule
mgc0132,boo,booed,MAG,SatEvePost,#political speech last year when some people in the audience,booed,her . What would you have done if you 'd been the,0,,1,1,1,1,primary coding rule
mgc0133,boo,booed,NEWS,Chicago,#concert which has a ' star . ' They even,booed,Herbert von Karajan 's ' Die Walkuere . ' At other times,0,,1,1,1,1,primary coding rule
mgc0134,boo,booing,FIC,Bk:WhenDevilDoesnt,"and mask , came out onto the balcony above . The",booing,"got louder , but this devil hissed back and stomped his feet",1,noun use,0,0,0,0,excluded by primary coding rule
mgc0135,shoo,shooed,MAG,Time,to the British airfield where the planes were parked : they,shooed,away all visitors . Finally Chennault took his appeal to Britain,0,,1,1,1,1,primary coding rule
mgc0136,shoo,shooed,FIC,Cow-Country,challenge he made no reply whatever . The group around Jeff,shooed,"Smoky gently toward the other side of the corral , thereby",0,,1,1,1,0,primary coding rule
mgc0137,ooh,oohed,MAG,Time,"near the roof girders , and a family-trade crowd of 4,320",oohed,and aahed . This was the finale of the Holiday on Ice,0,,1,1,1,0,primary coding rule
mgc0138,boo,boos,NEWS,WashPost,"massaging his fan base , which he publicly reprimanded after",boos,were heard at Smith Center during an overtime win over Saint,1,noun use,0,0,0,0,excluded by primary coding rule
mgc0139,boo,boos,FIC,Mov:AndroclesLion,to attack . Their instructions are intermingled with,boos,and catcalls and cries of derision . 418 MED . SHOT of,1,noun use,0,0,0,0,excluded by primary coding rule
mgc0140,ooh,oohing,MAG,Esquire,""" he tells the woman from exTra , who has been",oohing,"on camera over his success , "" I 'm in this unique",0,,1,1,1,1,primary coding rule
mgc0141,boo,boos,MAG,Time,"also feed his awesomely detailed Guide , which includes ahs and",boos,"for 7,500 wines . Parker devotes more lineage to bottom-drawer",1,noun use,0,0,0,0,excluded by primary coding rule
mgc0142,shoo,shooed,FIC,FantasySciFi,"what has that to do with it ? "" The Witch",shooed,"her out of the hut . # As the Witch predicted ,",0,,1,1,1,1,primary coding rule
mgc0143,shoo,shooed,FIC,VisionsCody,". . "" The non-corn came up at that point and",shooed,"them toward the stairs . They went down the steps , along",0,,1,1,1,1,primary coding rule
mgc0144,boo,booed,MAG,Time,"#Johnson , Democratic leader of the U.S. Senate , were",booed,"and hissed ( California Governor Pat Brown later apologized ,",0,,1,1,1,1,primary coding rule
mgc0145,shoo,shooing,FIC,LifeSayingsMrs,"invisible annoyance . It was all without avail , and """,shooing,""" was bootless , for the sound came again to her wakeful",1,noun use,0,0,0,0,excluded by primary coding rule
mgc0146,boo,boos,MAG,Atlantic,"may dwell on it thus much . The word cpuo-t ,",boos,occurs only five times in ancient Greek poetry ; twice it is,1,proper-name/metalinguistic/non-target use,0,0,0,0,excluded by primary coding rule
mgc0147,boo,booing,MAG,Time,. At one point he waited for the crowd to stop,booing,"McEnroe , then declared : "" He 's only 19 . """,0,,1,1,1,0,primary coding rule
mgc0148,boo,boos,FIC,Line,"a storm of applause came a hurricane of catcalls , of",boos,"and stamping feet . The guard , a chunky , red-faced little",1,noun use,0,0,0,0,excluded by primary coding rule
mgc0149,wow,wowing,FIC,Bk:SecretsLostSummer,"#, she opened her own studio in February , immediately",wowing,everyone . It was as if she had reached critical mass --,0,,1,1,0,0,primary coding rule
mgc0150,boo,booed,NEWS,Atlanta,"#for an examination and a tape job , and was",booed,when he came charging out of the tunnel . He returned to,0,,1,1,1,1,primary coding rule
mgc0151,shoo,shooed,FIC,ManWithNoShadow,"tower of yours , so I drove back . The police",shooed,"me away . Sweetie , why do you have the police there",0,,1,1,1,0,primary coding rule
mgc0152,boo,boos,FIC,MerryMonthMay,"a worker , who was asking to large numbers of angry",boos,whether the developing general strikes might not be doing more,1,noun use,0,0,0,0,excluded by primary coding rule
mgc0153,boo,boos,NEWS,Chicago,"here 's liberty ! "" shrieked Clara , amid chorus of",boos,". "" I 've got some ) roperty and I 'll sell",1,noun use,0,0,0,0,excluded by primary coding rule
mgc0154,shoo,shooed,FIC,YoungLonigan,", and Mrs. Lonigan signaled her husband to pause until she",shooed,the innocent ones off to Loretta 's room . They scampered out,0,,1,1,1,1,primary coding rule
