coding_id,token_id,family,term,kwic_line,doc_id,year,decade,genre,source,left,target,right,context
mgc0041,mg0104,boo,booed,138,719421,1958,1950,NEWS,NYT-Reg,#with Romans ? forefathers of the Romans who cheered and,booed,last night . Early this morning it was still uncertain whether,#with Romans ? forefathers of the Romans who cheered and booed last night . Early this morning it was still uncertain whether
mgc0042,mg0848,ooh,oohs,32,780523,2005,2000,FIC,Mov:FantasticFourThe,"of flame (their future callsign), over the city skyline. The crowd",oohs,"and aahs. Ben watches, unimpressed. # BEN # Showoff. People drink,","of flame (their future callsign), over the city skyline. The crowd oohs and aahs. Ben watches, unimpressed. # BEN # Showoff. People drink,"
mgc0043,mg0065,boo,booed,284,1037166,1944,1940,TV/MOV,Passage to Marseille,"#"" and the loyal French soldiers are understood to have",booed,". "" What kind of a war is this ? Soldiers say","#"" and the loyal French soldiers are understood to have booed . "" What kind of a war is this ? Soldiers say"
mgc0044,mg0707,boo,boos,25,81693,2002,2000,MAG,SportsIll,"24 , in a game Boston would win 9-8 , the",boos,"and chants of "" Clemens sucks ! "" that accompanied his departure","24 , in a game Boston would win 9-8 , the boos and chants of "" Clemens sucks ! "" that accompanied his departure"
mgc0045,mg1429,wow,wowing,22,4185075,2017,2010,MAG,Engadget,#at CES in a few weeks . But instead of,wowing,"the world with it 's non-stop teaser videos , it was the","#at CES in a few weeks . But instead of wowing the world with it 's non-stop teaser videos , it was the"
mgc0046,mg0538,boo,boos,80,256978,1940,1940,MAG,Time,suddenly interrupted by a tremendous clamor of sound-effect,boos,"catcalls . Then the Nazi announcer spoke up . "" This ,","suddenly interrupted by a tremendous clamor of sound-effect boos catcalls . Then the Nazi announcer spoke up . "" This ,"
mgc0047,mg0404,boo,booing,173,10515,1969,1960,FIC,BlindManWithPistol,"law and order . "" The cameras briefly showed the spectators",booing,", then switched quickly to other sound trucks , occupied by","law and order . "" The cameras briefly showed the spectators booing , then switched quickly to other sound trucks , occupied by"
mgc0048,mg0290,boo,booing,50,9846,1866,1860,FIC,GoodCompanyEvery,"and her Cause , somewhat basely ; took to booing and",booing,"for Causes of their own , unhappy mortals ; -- and Scotland","and her Cause , somewhat basely ; took to booing and booing for Causes of their own , unhappy mortals ; -- and Scotland"
mgc0049,mg1435,wow,wows,4,228072,1948,1940,MAG,Time,"love to hear their language spoken. "" # A good mimic, she often",wows,French audiences with take-offs of people who heckle husband George. She has never been,"love to hear their language spoken. "" # A good mimic, she often wows French audiences with take-offs of people who heckle husband George. She has never been"
mgc0050,mg1050,shoo,shooed,58,36580,2009,2000,FIC,ValeriasLastStand,. It was the same scene every day . Some even,shooed,"her away . # "" Leave my food alone , "" they",". It was the same scene every day . Some even shooed her away . # "" Leave my food alone , "" they"
mgc0051,mg0279,boo,booed,218,4182023,2017,2010,MAG,Huffington Post,"#Act , according to WJBF . # The crowd also",booed,when Wilson said he supported President Donald Trump 's,"#Act , according to WJBF . # The crowd also booed when Wilson said he supported President Donald Trump 's"
mgc0052,mg0353,boo,booing,133,1041113,1949,1940,TV/MOV,All the King's Men,of here ! - What 's the idea ? They 're,booing,you . - My head ... - The doctor said it 's,of here ! - What 's the idea ? They 're booing you . - My head ... - The doctor said it 's
mgc0053,mg1067,shoo,shooed,18,4163235,2014,2010,FIC,LiteraryRev,"chilled again , her body weak . Day after day he",shooed,"away pigeons , murmuring words of encouragement , until","chilled again , her body weak . Day after day he shooed away pigeons , murmuring words of encouragement , until"
mgc0054,mg1313,wow,wowed,94,10527,1970,1970,FIC,IslandsInStream,"#Hymie slouched forward and banged his brows , going """,Wowed,""" and "" Zaddafuck , waddafuck ! "" And Boomie fluttered fingers","#Hymie slouched forward and banged his brows , going "" Wowed "" and "" Zaddafuck , waddafuck ! "" And Boomie fluttered fingers"
mgc0055,mg0349,boo,booing,17,16593,1949,1940,FIC,Mov:SetUpThe,"air and Nelson dances tantalizingly about him , the fans start",booing,"and stamping . Nelson , with a broad smile , stops and","air and Nelson dances tantalizingly about him , the fans start booing and stamping . Nelson , with a broad smile , stops and"
mgc0056,mg0728,boo,boos,97,4116037,2011,2010,NEWS,USAToday,"makes no sense at all . "" # Perry , drawing",boos,"from an audience of 5,000 at the Orange County Convention Center","makes no sense at all . "" # Perry , drawing boos from an audience of 5,000 at the Orange County Convention Center"
mgc0057,mg0842,ooh,oohs,26,366314,2000,2000,MAG,Time,"When Sony released its $1,000 digital picture frame last year, it got lots of",oohs,and aahs but few takers. Now come the clones: Idea Grove is hawking,"When Sony released its $1,000 digital picture frame last year, it got lots of oohs and aahs but few takers. Now come the clones: Idea Grove is hawking"
mgc0058,mg1039,shoo,shooed,203,30426,2004,2000,FIC,BoazBrown,seat to beat out a few loud clashes before the organist,shooed,them away . The cheerful hum of church folk idly socializing,seat to beat out a few loud clashes before the organist shooed them away . The cheerful hum of church folk idly socializing
mgc0059,mg1163,shoo,shooing,129,780085,1988,1980,FIC,CrownStars,'s arm and flew over the tangle with the idea of,shooing,the youngsters back to the ship . But the arrival of this,'s arm and flew over the tangle with the idea of shooing the youngsters back to the ship . But the arrival of this
mgc0060,mg0113,boo,booed,193,723491,1963,1960,NEWS,NYT-Reg,#Crowds gathered at the scene of the clashes . They,booed,the policemen and when trucks from the government sugar,#Crowds gathered at the scene of the clashes . They booed the policemen and when trucks from the government sugar
mgc0061,mg0763,ooh,oohed,4,182389,1949,1940,MAG,Time,"cheerfully hammed a few appropriate poses for photographers ,",oohed,and aahed like any common citizen at the power of Army 's,"cheerfully hammed a few appropriate poses for photographers , oohed and aahed like any common citizen at the power of Army 's"
mgc0062,mg0656,boo,boos,146,109908,1977,1970,MAG,SportsIll,them without complaint but still not understanding the Garden,boos,or why the New York press had made him the whipping boy,them without complaint but still not understanding the Garden boos or why the New York press had made him the whipping boy
mgc0063,mg0216,boo,booed,286,135897,1993,1990,MAG,SportsIll,#to make a pitching change out of fear of being,booed,". // "" That has an effect on the team , ""","#to make a pitching change out of fear of being booed . // "" That has an effect on the team , """
mgc0064,mg1354,wow,wowed,70,634214,2002,2000,NEWS,Chicago,"#Still , this is a young and resilient team that",wowed,the West without Keith Tkachuk and Jeremy Roenick this season .,"#Still , this is a young and resilient team that wowed the West without Keith Tkachuk and Jeremy Roenick this season ."
mgc0065,mg0746,boo,boos,59,5006050,2018,2010,MAG,Bleacher Report,Taylor was an ugly 4-of-14 for 19 yards and drew loud,boos,"and "" we want Baker "" chants from the crowd . A","Taylor was an ugly 4-of-14 for 19 yards and drew loud boos and "" we want Baker "" chants from the crowd . A"
mgc0066,mg0908,shoo,shooed,226,10101,1938,1930,FIC,ListeningHouse,"too , lady . Go on ahead there . "" He",shooed,"us on ahead of him , made us sit on the black","too , lady . Go on ahead there . "" He shooed us on ahead of him , made us sit on the black"
mgc0067,mg1214,shoo,shooing,78,36650,2009,2000,FIC,WhereItLies,"accept that , ma'am . "" He spread his arms ,",shooing,"me back from the doorway . "" You can tell your whole","accept that , ma'am . "" He spread his arms , shooing me back from the doorway . "" You can tell your whole"
mgc0068,mg1096,shoo,shooing,155,435223,1915,1910,MAG,Atlantic,even then were apparently sent only with the intent of ',shooing,"' several belligerent Tommies back to their own side , for the","even then were apparently sent only with the intent of ' shooing ' several belligerent Tommies back to their own side , for the"
mgc0069,mg0968,shoo,shooed,117,14348,1977,1970,FIC,Play:AnnullaAnAutobiography,to really take a job . And do you know they,shooed,me out ? Do you know why ? They found out my,to really take a job . And do you know they shooed me out ? Do you know why ? They found out my
mgc0070,mg1361,wow,wowed,67,376374,2003,2000,MAG,Time,#Bobby and Ethel given to Old Joe for his birthday,wowed,"the patriarch , who called Lowe and said he wanted him to","#Bobby and Ethel given to Old Joe for his birthday wowed the patriarch , who called Lowe and said he wanted him to"
mgc0071,mg1376,wow,wowed,36,4088056,2011,2010,NEWS,CSMonitor,#our early prediction list . While Chris Medina never really,wowed,"enough vocally to belong in the Top 24 , it was a","#our early prediction list . While Chris Medina never really wowed enough vocally to belong in the Top 24 , it was a"
mgc0072,mg0392,boo,booing,67,2653064,1964,1960,TV/MOV,The Munsters,in a row . Even the crowd 's getting tired of,booing,"him . Look , Jerry , I 've got one more gimmick","in a row . Even the crowd 's getting tired of booing him . Look , Jerry , I 've got one more gimmick"
mgc0073,mg0687,boo,boos,164,432399,1988,1980,MAG,Newsweek,", Stephen King , Paul Simon , George Steinbrenner ( most",boos,upon introduction ) and Natalie Cole (biggest cheers ) ? all,", Stephen King , Paul Simon , George Steinbrenner ( most boos upon introduction ) and Natalie Cole (biggest cheers ) ? all"
mgc0074,mg0203,boo,booed,257,53163,1990,1990,FIC,Ploughshares,"#for ten rounds , even if you lost and got",booed,. At least you 'd be around to collect on another payday,"#for ten rounds , even if you lost and got booed . At least you 'd be around to collect on another payday"
mgc0075,mg0461,boo,booing,113,411380,2000,2000,MAG,PopMech,"the piano player , the audience cheering for the hero and",booing,the villain in a variety of languages that might have been heard,"the piano player , the audience cheering for the hero and booing the villain in a variety of languages that might have been heard"
mgc0076,mg0615,boo,boos,235,10494,1967,1960,FIC,Arrangement,was I really dealing in controversy . Merely leading cheers and,boos,. He said everything in my piece was predictable . That I,was I really dealing in controversy . Merely leading cheers and boos . He said everything in my piece was predictable . That I
mgc0077,mg0200,boo,booed,144,329663,1989,1980,MAG,Time,#stadium . Cheers and applause ? Hardly . The fans,booed,lustily . # Those jeers apparently never reached East Berlin .,#stadium . Cheers and applause ? Hardly . The fans booed lustily . # Those jeers apparently never reached East Berlin .
mgc0078,mg0847,ooh,oohs,31,33271,2005,2000,FIC,TicketHome,were swaddled in woolen scarves and down coats. They sent up soft choruses of,oohs,and aaaahs when the cat with a sixteen-foot bow tie emerged from a side street,were swaddled in woolen scarves and down coats. They sent up soft choruses of oohs and aaaahs when the cat with a sixteen-foot bow tie emerged from a side street
mgc0079,mg1277,shoo,shoos,4,296138,1983,1980,MAG,Time,"pose , he holds a thick cigar in one hand and",shoos,"away his old English sheep dog , Wellington , with the other","pose , he holds a thick cigar in one hand and shoos away his old English sheep dog , Wellington , with the other"
mgc0080,mg0040,boo,booed,152,221720,1938,1930,MAG,Time,"#'s end 30,000 workers jammed Buffalo Stadium in Paris ,",booed,moderate French Labor Union Boss Lon Jouhaux completely off the,"#'s end 30,000 workers jammed Buffalo Stadium in Paris , booed moderate French Labor Union Boss Lon Jouhaux completely off the"
mgc0081,mg1270,shoo,shoos,27,14238,1970,1970,FIC,Play:TrumpetInLand,my thanks . BERNARD GRUBE Now away with you ! (,Shoos,the widows out . ) CHRISTIAN GREGOR (Laconically . ) You,my thanks . BERNARD GRUBE Now away with you ! ( Shoos the widows out . ) CHRISTIAN GREGOR (Laconically . ) You
mgc0082,mg1187,shoo,shooing,122,45414,1999,1990,FIC,SouthwestRev,"to his dad , the old man makes a to-do of",shooing,"the Mrs. and then whispers conspiratorially , "" You been dippin '","to his dad , the old man makes a to-do of shooing the Mrs. and then whispers conspiratorially , "" You been dippin '"
mgc0083,mg0419,boo,booing,198,732697,1976,1970,NEWS,Chicago,""" he said . The crowd responded with a chorus of",booing,". "" It 's not a Catholic issue , "" Carter added",""" he said . The crowd responded with a chorus of booing . "" It 's not a Catholic issue , "" Carter added"
mgc0084,mg0002,boo,booed,85,1581,1905,1900,FIC,TalesRoad,#think of . Finally he asked me for ' Hairts,Booed,"Doon . ' "" As I played ' The Heart Bowed Down","#think of . Finally he asked me for ' Hairts Booed Doon . ' "" As I played ' The Heart Bowed Down"
mgc0085,mg0297,boo,booing,99,4868,1907,1900,FIC,Convert,", anyway ? "" ' In the chorus of cheers and",booing,"some one sang out , ' He 's a jolly good fellow",", anyway ? "" ' In the chorus of cheers and booing some one sang out , ' He 's a jolly good fellow"
mgc0086,mg0210,boo,booed,113,612557,1992,1990,NEWS,Atlanta,#now . Thigpen went from 57 to 35 and they,booed,"him out of town . "" . . . . Cardinals set-up","#now . Thigpen went from 57 to 35 and they booed him out of town . "" . . . . Cardinals set-up"
mgc0087,mg0647,boo,boos,82,16135,1975,1970,FIC,Mov:Nashville,"as our guest . How 's that , huh ? The",boos,"continue , but the cheers and applause that filter in lead him","as our guest . How 's that , huh ? The boos continue , but the cheers and applause that filter in lead him"
mgc0088,mg0639,boo,boos,225,729779,1971,1970,NEWS,Chicago,"and evening gowns , they were greeted with obscene catcalls and",boos,. An especially angry reception was given to millionaire W.,"and evening gowns , they were greeted with obscene catcalls and boos . An especially angry reception was given to millionaire W."
mgc0089,mg0214,boo,booed,248,624873,1993,1990,NEWS,Houston,#. Because he has endured the bad times and been,booed,", this year 's success means that much more to him .","#. Because he has endured the bad times and been booed , this year 's success means that much more to him ."
mgc0090,mg1381,wow,wowed,90,4115103,2012,2010,NEWS,Denver,"#comes into the museum , that they are so completely",wowed,with the experience -- and that it 's not just about fashion,"#comes into the museum , that they are so completely wowed with the experience -- and that it 's not just about fashion"
mgc0091,mg1243,shoo,shooing,72,5003243,2018,2010,FIC,Azalea,he went home to fetch the bird-net with little bells .,Shooing,"his puzzled mother and sister back into the house , he marched","he went home to fetch the bird-net with little bells . Shooing his puzzled mother and sister back into the house , he marched"
mgc0092,mg0466,boo,booing,88,373984,2002,2000,MAG,Time,"Woodstock IV , showing no disapproval then or later over the",booing,"of Republican Senator Trent Lott , who had come to pay his","Woodstock IV , showing no disapproval then or later over the booing of Republican Senator Trent Lott , who had come to pay his"
mgc0093,mg0557,boo,boos,42,711300,1948,1940,NEWS,NYT-Reg,The names of Senators Taft and Vandenberg raised a chorus of,boos,and hisses . President Truman 's name also brought similar but,The names of Senators Taft and Vandenberg raised a chorus of boos and hisses . President Truman 's name also brought similar but
mgc0094,mg0578,boo,boos,79,715831,1953,1950,NEWS,NYT-Reg,A. F. L. organizational drive . But the loudest and longest,boos,came when he accused Governor Dewey and Gov . Alfred E. Driscoll,A. F. L. organizational drive . But the loudest and longest boos came when he accused Governor Dewey and Gov . Alfred E. Driscoll
mgc0095,mg0834,ooh,oohs,18,780082,1989,1980,FIC,FarewellHorizontal,frieze. Hit with a pinlight a second before the animation comes to life:,oohs,"and ahhs from all the tables. With these military tribes, you always knew","frieze. Hit with a pinlight a second before the animation comes to life: oohs and ahhs from all the tables. With these military tribes, you always knew"
mgc0096,mg1253,shoo,shoos,13,284,1920,1920,FIC,ThisSideParadise,job is to provide and to hold fast . His wife,shoos,"him on , from ten thousand a year to twenty thousand a","job is to provide and to hold fast . His wife shoos him on , from ten thousand a year to twenty thousand a"
mgc0097,mg1018,shoo,shooed,98,44216,1998,1990,FIC,SouthwestRev,"to hear them screech . Great . Caught a pigeon ,",shooed,"it in the sack , sloping shingles and blue sky , the","to hear them screech . Great . Caught a pigeon , shooed it in the sack , sloping shingles and blue sky , the"
mgc0098,mg0007,boo,booed,99,486180,1925,1920,MAG,Nation,#the story becomes even sadder . Was Master Grange ever,booed,from the field while he played with his college mates ? He,#the story becomes even sadder . Was Master Grange ever booed from the field while he played with his college mates ? He
mgc0099,mg0658,boo,boos,33,780101,1978,1970,FIC,Cabal,"that are predominantly Christian .... "" There was a burst of",boos,and foot-stomping and Hartewell waited until it quieted . Then,"that are predominantly Christian .... "" There was a burst of boos and foot-stomping and Hartewell waited until it quieted . Then"
mgc0100,mg1029,shoo,shooed,151,633205,2000,2000,NEWS,Chicago,physically exhausted and emotionally depleted . Typically I,shooed,the boys out of the kitchen so I could perform yet another,physically exhausted and emotionally depleted . Typically I shooed the boys out of the kitchen so I could perform yet another
mgc0101,mg0188,boo,booed,208,490886,1984,1980,MAG,NewYorker,#lotus position to complain about his innovation . ( People,booed,"when Bob Dylan plugged in his guitar , too . ) ""","#lotus position to complain about his innovation . ( People booed when Bob Dylan plugged in his guitar , too . ) """
mgc0102,mg0920,shoo,shooed,45,4173,1947,1940,FIC,GreenerThanYou,various degrees of resistance the inhabitants were carried or,shooed,from their dwellings . While the wrangling over its destruction,various degrees of resistance the inhabitants were carried or shooed from their dwellings . While the wrangling over its destruction
mgc0103,mg1208,shoo,shooing,142,637888,2007,2000,NEWS,SanFran,"talk to the pharmacist , "" said the hotel clerk ,",shooing,"us out the door . # The pharmacist , a young woman","talk to the pharmacist , "" said the hotel clerk , shooing us out the door . # The pharmacist , a young woman"
mgc0104,mg0965,shoo,shooed,92,780157,1976,1970,FIC,MurderAtABA,12:40 P.M. It was somewhat past twelve-thirty when we were all,shooed,into the next room to the tables reserved for us near the,12:40 P.M. It was somewhat past twelve-thirty when we were all shooed into the next room to the tables reserved for us near the
mgc0105,mg0064,boo,booed,279,224598,1944,1940,MAG,Time,"#their long inaction , he addressed them and was roundly",booed,. This time the troops knew that action could not be long,"#their long inaction , he addressed them and was roundly booed . This time the troops knew that action could not be long"
mgc0106,mg0998,shoo,shooed,145,40294,1992,1990,FIC,IdasPassion,"asleep . The family got on her nerves , and she",shooed,Sweetbabe away when he wanted to read aloud to her even though,"asleep . The family got on her nerves , and she shooed Sweetbabe away when he wanted to read aloud to her even though"
mgc0107,mg0536,boo,boos,61,704831,1940,1940,NEWS,NYT-Reg,"Willkie was a Democrat until very ' recently , as many",boos,as cheers came from the galleries after this statement . It was,"Willkie was a Democrat until very ' recently , as many boos as cheers came from the galleries after this statement . It was"
