form_family_id,normalized_surface,alias_rule_id,seed_group,notes,variant_block_hint,component_family_ids
night,night,exact,routine,Manual constructional-use adjudication required
nope,nope,exact,response,
obviously,obviously,exact,discourse,Neighbour/control candidate; manual constructional-use adjudication required
och,och,exact,interjection,
oh_bloody_hell,oh bloody hell,multiword,interjection,Provisional complex construction,,oh;bloody_hell
oh_dear,oh dear,multiword,interjection,Provisional complex construction,,oh;dear
oh_dear,oh dear me,multiword,interjection,Provisional complex construction,,oh;dear
oh_fucking_hell,oh fucking hell,multiword,interjection,Provisional complex construction,,oh
oh_god,oh god,multiword,interjection,Provisional complex construction,,oh;god
oh_goodness,oh goodness,multiword,interjection,Provisional complex construction,,oh;goodness
oh_my_god,oh my god,multiword,interjection,Provisional complex construction,,oh;god
oh_my_goodness,oh my goodness,multiword,interjection,Provisional complex construction,,oh;goodness
oi,oi,exact,interjection,,oi_oy,
oy,oy,exact,interjection,,oi_oy,
pardon,pardon,exact,routine,Repair-initiation neighbour; manual constructional-use adjudication required
pardon,pardon me,multiword,routine,Repair-initiation neighbour
really,really,exact,homograph,Neighbour/control candidate; manual constructional-use adjudication required
shh,sshh,lengthened,interjection,Enumerated spelling variant,sh_shh,
stop,stop,exact,homograph,Interactional neighbour/control; manual constructional-use adjudication required
sure,sure,exact,response,Neighbour/control candidate; manual constructional-use adjudication required
ta,ta,exact,routine,British thanks formula; manual constructional-use adjudication required
ta_ta,ta ta,multiword,routine,Farewell formula
ta_ta,ta-ta,hyphenated,routine,Farewell formula
tarrah,tarrah,exact,routine,Farewell formula
terrible,terrible,exact,homograph,Neighbour/control candidate; manual constructional-use adjudication required
true,true,exact,response,Neighbour/control candidate; manual constructional-use adjudication required
ugh,urgh,variant,interjection,Enumerated British spelling variant
uhum,uhum,exact,response,Kept separate pending audio adjudication
wait,wait,exact,homograph,Interactional neighbour/control; manual constructional-use adjudication required
wait_a_minute,wait a minute,multiword,formula,Interactional neighbour/control
whoops,whoops,exact,interjection,,oops_whoops,
wonderful,wonderful,exact,homograph,Neighbour/control candidate; manual constructional-use adjudication required
ya,ya,exact,homograph,Potential response form or pronoun; manual constructional-use adjudication required
you_know,you know,multiword,discourse,Neighbour/control candidate
you_see,you see,multiword,discourse,Neighbour/control candidate
yo,yo,exact,vocative,
aargh,aaargh,lengthened,interjection,Enumerated spelling variant
ah,ahh,lengthened,interjection,Enumerated spelling variant
ah,ahhhh,lengthened,interjection,Enumerated spelling variant
dad,dad,exact,vocative,Neighbour/control candidate; manual constructional-use adjudication required
daddy,daddy,exact,vocative,Neighbour/control candidate; manual constructional-use adjudication required
go_on,go on,multiword,formula,Interactional neighbour/control
ha,hah,lengthened,interjection,Enumerated spelling variant
i_know,i know,multiword,response,Neighbour/control candidate
like,like,exact,homograph,Neighbour/control candidate; manual constructional-use adjudication required
love,love,exact,vocative,Neighbour/control candidate; manual constructional-use adjudication required
mum,mum,exact,vocative,Neighbour/control candidate; manual constructional-use adjudication required
mummy,mummy,exact,vocative,Neighbour/control candidate; manual constructional-use adjudication required
not_really,not really,multiword,response,Neighbour/control candidate
ooh,oooh,lengthened,interjection,Enumerated spelling variant
ooh,oohh,lengthened,interjection,Enumerated spelling variant
probably,probably,exact,homograph,Neighbour/control candidate; manual constructional-use adjudication required
see_you,see you,multiword,routine,Neighbour/control candidate
shut_up,shut up,multiword,formula,Interactional neighbour/control
tsk,tut,variant,interjection,Enumerated transcript realization
uh_huh,uhuh,variant,response,Enumerated spelling variant; kept separate from mm and mhm
what,what,exact,homograph,Repair/question neighbour; manual constructional-use adjudication required
yup,yup,exact,response,
