recode_id,coding_id,genre,source,context,recode_syn,recode_sem,recode_int,recode_notes
R044,F526,FIC,Bankrupt,something over. Gilt. Edward Giltwood At what interest? Shorn. James Shelvill Fie! you inveterate trader! at no interest. Gilt. Edward Giltwood James!,1,1,1,
R045,F433,FIC,SpanishStudent,"the Court, who loves you, And for yourself alone. VICTORIAN. Victorian Fie! the old story! Tell me a better fortune for my money; Not",1,1,1,
R046,F026,TV/MOV,Captain Blood,"afraid of Col. Bishop. No. That is, not very afraid. Fie on you deserting our captain in this way... you scurvy traitors, you Judas",0,1,1,
R047,F570,FIC,MotorGirls,", and not even scraping the tires; after me -- even kissing you! Fie! fie! little girl. Some day you may want another machine -- or",1,1,1,
R048,F246,FIC,LovesSacrifice,to his child bequeaths A holy legacy in his revenge. Elm. Matthew Elmore Fie! fie! Shall twenty years not quench this thirst? I thought I had,1,1,1,
R049,F120,FIC,RomanTraitorVol12,"them, when flushed with wine, and ripe for any outrage? "" "" Fie! dear one, fie! "" answered the young man with a smile --",1,1,1,
R050,F587,NEWS,Chicago,"people who have it in them to be first but who finish second, "" fie said -- but he also came thru with the money. For it was Joe",0,0,0,ocr
R051,F079,FIC,Play:MerchantVenice,"not sad. p. 4 SALARINO Why, then you are in love. ANTONIO Fie, fie! SALARINO Not in love neither? Then let's say you're",1,1,1,
R052,F366,FIC,IngleboroughHall,"say, is looking after. "" "" Fie! fie! Sir Henry -- fie! Do you suppose that a thought of that kind ever occurred to me?",1,1,1,
R053,F317,FIC,EarthTrembled,"and are the better for it. That's the demmed total -- oh, fie! there I am at it again. Well, Cousin Hugh, to take",1,1,1,
R054,F578,FIC,MartinMerrivale,", scolding him for taking her out in such a storm. "" Fie, fie! "" said Uncle Joe, in his best humor; "" you know I",1,1,1,
R055,F616,FIC,MemoirsPreacher,""" Friend, thou art behaving exceedingly bad, "" said Martha Lott. "" Fie! Shame on thee! to brandish these weapons at the breast of a defenceless",1,1,1,
R056,F373,MAG,Atlantic,or for any other benefit than their owntor is there any reason why it should fie expected that these disastrous competitions would be carried on beyond the point which the competitors,0,0,0,ocr
R057,F571,MAG,NewEngYaleRev,"These are the subjects of the two Treatises, entitled Kar4'o * tw, and FIe * L * E * o1veta5. But the contemplation of the work to be",0,0,0,ocr
R058,F093,FIC,Good-for-Nothing,"was as wide-awake as he could be. He slapped Norman on the back. FIe sniffed around the room a few times and said, "" What's that funny",0,0,0,ocr
R059,F525,FIC,WidowsMarriage,"is yours, without youth's rudeness, madam. Lady G. Lady Goldstraw O fie! you flatter. Gold. Harry Goldstraw (Apart to Ruffler.) I",1,1,1,
R060,F519,FIC,ChangeHeart,"wants resolvd will To learn his wit to exchange the bad for better. -- Fie, fie, unreverend tongue! to call her bad Whose sovereignty so oft thou",1,1,1,
R061,F431,NEWS,NYT-Reg,"1898 delivered a number of effective addresses for the Republican candidate, for Governor. fie 1897 Mr. Choate was a candidate for United States Senator. but was defeated by",0,0,0,ocr
R062,F511,MAG,Time,". "" The phrase came from its prize, unpredictable Critic-Columnist George Orwell. # Fie on the Finns. Early in the Tribune's career, it had narrowly escaped",0,1,1,
